"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FGenerateMipsCS","Global","SF_Compute","4","1571"
"FGenerateMipsIndirectCS","Global","SF_Compute","4","1571"
"FGenerateMipsPS","Global","SF_Pixel","1","316"
"FGenerateMipsVS","Global","SF_Vertex","1","278"
"FGeneratePaniniUVDisplacementCS","Global","SF_Compute","1","1183"
"FGroomCacheUpdatePassCS","Global","SF_Compute","1","1212"
"FHMDDistortionPS","Global","SF_Pixel","1","439"
"FHMDDistortionVS","Global","SF_Vertex","1","450"
"FHZBBuildCS","Global","SF_Compute","36","34150"
"FHZBBuildPS","Global","SF_Pixel","2","884"
"FHairCardsDeformationCS","Global","SF_Compute","2","3223"
"FHairInitMeshSamplesCS","Global","SF_Compute","2","1100"
"FHairInterpolationCS","Global","SF_Compute","96","214526"
"FHairMeshesInterpolateCS","Global","SF_Compute","1","655"
"FHairTranscodeCS","Global","SF_Compute","2","1545"
"FHairUpdateMeshSamplesCS","Global","SF_Compute","1","589"
"FHairUpdateMeshTriangleCS","Global","SF_Compute","4","7406"
"FHairUpdatePositionOffsetCS","Global","SF_Compute","4","1104"
"FHardwareVideoDecodingPS","Global","SF_Pixel","1","595"
"FHardwareVideoDecodingPassThroughPS","Global","SF_Pixel","1","251"
"FHardwareVideoDecodingVS","Global","SF_Vertex","1","354"
"FHardwareVideoDecodingY416PS","Global","SF_Pixel","1","578"
"FHardwareVideoDecodingYCoCgAlphaPS","Global","SF_Pixel","1","562"
"FHardwareVideoDecodingYCoCgPS","Global","SF_Pixel","1","596"
"FHdrCustomResolve2xPS","Global","SF_Pixel","1","444"
"FHdrCustomResolve4xPS","Global","SF_Pixel","1","496"
"FHdrCustomResolve8xPS","Global","SF_Pixel","1","495"
"FHdrCustomResolveFMask2xPS","Global","SF_Pixel","1","503"
"FHdrCustomResolveFMask4xPS","Global","SF_Pixel","1","502"
"FHdrCustomResolveFMask8xPS","Global","SF_Pixel","1","503"
"FHdrCustomResolveVS","Global","SF_Vertex","1","333"
"FHitProxyCopyPS","Global","SF_Pixel","1","417"
"FIESAtlasAddTextureCS","Global","SF_Compute","1","665"
"FInitIndirectArgs1DCS","Global","SF_Compute","1","375"
"FInjectShadowedLocalLightPS","Global","SF_Pixel","48","228109"
"FInstanceCullingOcclusionQueryCS","Global","SF_Compute","4","16388"
"FInstanceCullingOcclusionQueryDebugPS","Global","SF_Pixel","1","353"
"FInstanceCullingOcclusionQueryDebugVS","Global","SF_Vertex","1","4022"
"FInstanceCullingOcclusionQueryPS","Global","SF_Pixel","1","257"
"FInstanceCullingOcclusionQueryVS","Global","SF_Vertex","2","3457"
"FInterpolateGroomGuidesCS","Global","SF_Compute","2","4091"
"FInvertDisplacementPS","Global","SF_Pixel","1","282"
"FInvertDisplacementVS","Global","SF_Vertex","1","577"
"FLUTBlenderPS","Global","SF_Pixel","15","104923"
"FLandscapeMergeTexturesPS","Global","SF_Pixel","2","909"
"FLandscapePackRGBAChannelsPS","Global","SF_Pixel","1","437"
"FLandscapeResampleMergedTexturePS","Global","SF_Pixel","2","1046"
"FLensFlareBlurCS","Global","SF_Compute","1","604"
"FLensFlareBlurComputeShaderVS","Global","SF_Vertex","1","711"
"FLensFlareBlurPS","Global","SF_Pixel","1","288"
"FLensFlareBlurVS","Global","SF_Vertex","1","835"
"FLensFlareCompositePS","Global","SF_Pixel","1","448"
"FLensFlareCopyBloomPS","Global","SF_Pixel","1","251"
"FLightGridFeedbackStatusCS","Global","SF_Compute","1","464"
"FLightGridInjectionCS","Global","SF_Compute","96","325387"
"FLocalFogVolumeTiledCullingCS","Global","SF_Compute","2","3045"
"FLongGPUTaskPS","Global","SF_Pixel","1","399"
"FMediaShadersVS","Global","SF_Vertex","1","254"
"FMemcpyCS","Global","SF_Compute","3","1308"
"FMemsetBufferCS","Global","SF_Compute","3","1176"
"FMobileAverageLuminanceCS","Global","SF_Compute","1","892"
"FMobileBasicEyeAdaptationCS","Global","SF_Compute","1","822"
"FMobileBloomDownPS","Global","SF_Pixel","1","487"
"FMobileBloomDownVS","Global","SF_Vertex","1","742"
"FMobileBloomSetupPS","Global","SF_Pixel","10","6474"
"FMobileBloomSetupVS","Global","SF_Vertex","1","551"
"FMobileBloomUpPS","Global","SF_Pixel","1","543"
"FMobileBloomUpVS","Global","SF_Vertex","1","725"
"FMobileCubeDownsamplePS","Global","SF_Pixel","1","544"
"FMobileCustomResolvePS","Global","SF_Pixel","1","641"
"FMobileDOFRecombinePS","Global","SF_Pixel","3","1987"
"FMobileDOFSetupPS","Global","SF_Pixel","5","4836"
"FMobileDistortionMergePS","Global","SF_Pixel","1","417"
"FMobileDofBlurPS","Global","SF_Pixel","1","593"
"FMobileDofBlurVS","Global","SF_Vertex","1","541"
"FMobileDofDownPS","Global","SF_Pixel","2","1239"
"FMobileDofDownVS","Global","SF_Vertex","1","565"
"FMobileDofNearPS","Global","SF_Pixel","2","938"
"FMobileDofNearVS","Global","SF_Vertex","1","560"
"FMobileFogPS","Global","SF_Pixel","204","526312"
"FMobileFogVS","Global","SF_Vertex","1","448"
"FMobileHistogramEyeAdaptationCS","Global","SF_Compute","1","1052"
"FMobileIntegrateDofPS","Global","SF_Pixel","1","502"
"FMobileIntegrateDofVS","Global","SF_Vertex","1","565"
"FMobileLocalFogVolumeTiledRenderHalfResPS","Global","SF_Pixel","1","2432"
"FMobileLocalFogVolumeTiledRenderPS","Global","SF_Pixel","1","2383"
"FMobileLocalFogVolumeTiledRenderVS","Global","SF_Vertex","1","564"
"FMobileSunAlphaPS","Global","SF_Pixel","2","883"
"FMobileSunAlphaVS","Global","SF_Vertex","1","672"
"FMobileSunBlurPS","Global","SF_Pixel","1","405"
"FMobileSunBlurVS","Global","SF_Vertex","1","668"
"FMobileSunMaskPS","Global","SF_Pixel","6","4063"
"FMobileSunMergePS","Global","SF_Pixel","4","2050"
"FMobileSunMergeVS","Global","SF_Vertex","1","897"
"FModifyAlphaSwizzleRgbaPS","Global","SF_Pixel","3","759"
"FNULLPS","Global","SF_Pixel","1","249"
"FNV12ConvertAsBytesPS","Global","SF_Pixel","1","1230"
"FNV12ConvertPS","Global","SF_Pixel","1","1104"
"FNV21ConvertPS","Global","SF_Pixel","1","726"
"FNiagaraClearAsyncGpuTraceCS","Global","SF_Compute","1","285"
"FNiagaraClearCountsIntCS","Global","SF_Compute","1","331"
"FNiagaraClearCountsIntCS_Legacy","Global","SF_Compute","1","331"
"FNiagaraClearCountsUIntCS","Global","SF_Compute","1","332"
"FNiagaraClearCountsUIntCS_Legacy","Global","SF_Compute","1","332"
"FNiagaraClearUAVCS","Global","SF_Compute","1","429"
"FNiagaraCopySVTToDenseBufferCS","Global","SF_Compute","1","572"
"FNiagaraDebugDrawLinePS","Global","SF_Pixel","1","451"
"FNiagaraDebugDrawLineVS","Global","SF_Vertex","1","701"
"FNiagaraDispatchIndirectArgsGenCS","Global","SF_Compute","1","787"
"FNiagaraDrawIndirectArgsGenCS","Global","SF_Compute","2","1178"
"FNiagaraDrawIndirectResetCountsCS","Global","SF_Compute","1","327"
"FNiagaraGenerateMipsCS","Global","SF_Compute","4","2238"
"FNiagaraInitFreeIDBufferCS","Global","SF_Compute","1","331"
"FNiagaraInstanceCountsInitCS","Global","SF_Compute","1","332"
"FNiagaraLWCTileShiftPositionsCS","Global","SF_Compute","1","649"
"FNiagaraRibbonAggregationApplyCS","Global","SF_Compute","6","3235"
"FNiagaraRibbonAggregationStepCS","Global","SF_Compute","9","5483"
"FNiagaraRibbonCreateIndexBufferCS","Global","SF_Compute","2","1904"
"FNiagaraRibbonCreateIndexBufferParamsCS","Global","SF_Compute","3","2937"
"FNiagaraRibbonSortPhase1CS","Global","SF_Compute","6","5014"
"FNiagaraRibbonSortPhase2CS","Global","SF_Compute","6","5591"
"FNiagaraRibbonUVParamCalculationCS","Global","SF_Compute","3","6818"
"FNiagaraRibbonVertexReductionFinalizeCS","Global","SF_Compute","6","6101"
"FNiagaraRibbonVertexReductionInitializationCS","Global","SF_Compute","9","17219"
"FNiagaraSimpleElement2DArrayAttribute","Global","SF_Pixel","1","754"
"FNiagaraSimpleElementPS","Global","SF_Pixel","1","634"
"FNiagaraSimpleElementVolumeAttribute","Global","SF_Pixel","1","919"
"FNiagaraSortKeyGenCS","Global","SF_Compute","4","5705"
"FNiagaraUpdateCollisionGroupMapCS","Global","SF_Compute","1","695"
"FNiagaraUpdateMeshGPUSceneInstancesCS","Global","SF_Compute","2","12697"
"FNiagaraVisualizeTexturePS","Global","SF_Pixel","8","8625"
"FOITSortTriangleIndex_AllocateCS","Global","SF_Compute","1","424"
"FOITSortTriangleIndex_ScanCS","Global","SF_Compute","1","1033"
"FOITSortTriangleIndex_WriteOutCS","Global","SF_Compute","1","600"
"FOcclusionFeedbackPS","Global","SF_Pixel","2","601"
"FOcclusionFeedbackVS","Global","SF_Vertex","1","474"
"FOcclusionQueryPS","Global","SF_Pixel","1","249"
"FOcclusionQueryVS","Global","SF_Vertex","1","353"
"FOculusAlphaInverseShader","Global","SF_Pixel","1","263"
"FOculusBlackShader","Global","SF_Pixel","1","249"
"FOculusCubemapPS","Global","SF_Pixel","1","547"
"FOculusVertexShader","Global","SF_Vertex","1","254"
"FOculusWhiteShader","Global","SF_Pixel","1","249"
"FOneColorPS","Global","SF_Pixel","1","187"
"FOnePassPointShadowProjectionPS1falsefalse","Global","SF_Pixel","1","1246"
"FOnePassPointShadowProjectionPS1falsetrue","Global","SF_Pixel","1","1373"
"FOnePassPointShadowProjectionPS2falsefalse","Global","SF_Pixel","1","1246"
"FOnePassPointShadowProjectionPS2falsetrue","Global","SF_Pixel","1","1373"
"FOnePassPointShadowProjectionPS3falsefalse","Global","SF_Pixel","1","1533"
"FOnePassPointShadowProjectionPS3falsetrue","Global","SF_Pixel","1","1664"
"FOnePassPointShadowProjectionPS4falsefalse","Global","SF_Pixel","1","1579"
"FOnePassPointShadowProjectionPS4falsetrue","Global","SF_Pixel","1","1708"
"FOnePassPointShadowProjectionPS5falsefalse","Global","SF_Pixel","1","1744"
"FOnePassPointShadowProjectionPS5falsetrue","Global","SF_Pixel","1","1871"
"FP010ConvertAsUINT16sPS","Global","SF_Pixel","1","1207"
"FP010ConvertPS","Global","SF_Pixel","1","1083"
"FP010_2101010ConvertPS","Global","SF_Pixel","1","1308"
"FParticleCurveInjectionPS","Global","SF_Pixel","1","176"
"FParticleCurveInjectionVS","Global","SF_Vertex","1","446"
"FParticleInjectionVS","Global","SF_Vertex","1","662"
"FParticleSimVisualizePS","Global","SF_Pixel","1","497"
"FParticleSimVisualizeVS","Global","SF_Vertex","1","305"
"FParticleSimulationClearPS","Global","SF_Pixel","1","203"
"FParticleTileVS","Global","SF_Vertex","1","580"
"FPopulateCompositeDepthPS","Global","SF_Pixel","2","1065"
"FPostProcessBenchmarkPS0","Global","SF_Pixel","1","512"
"FPostProcessBenchmarkPS1","Global","SF_Pixel","1","407"
"FPostProcessBenchmarkPS2","Global","SF_Pixel","1","411"
"FPostProcessBenchmarkPS3","Global","SF_Pixel","1","268"
"FPostProcessBenchmarkPS4","Global","SF_Pixel","1","466"
"FPostProcessBenchmarkPS5","Global","SF_Pixel","1","166"
"FPostProcessBenchmarkVS0","Global","SF_Vertex","1","439"
"FPostProcessBenchmarkVS1","Global","SF_Vertex","1","330"
"FPostProcessBenchmarkVS2","Global","SF_Vertex","1","248"
"FRDGMemcpyCS","Global","SF_Compute","6","2502"
"FRDGMemsetBufferCS","Global","SF_Compute","6","2242"
"FRDGScatterCopyCS","Global","SF_Compute","7","3243"
"FRGB10toYUVv210ConvertPS","Global","SF_Pixel","1","1143"
"FRGB8toUYVY8ConvertPS","Global","SF_Pixel","1","628"
"FRGB8toY8ConvertPS","Global","SF_Pixel","1","538"
"FRGBConvertPS","Global","SF_Pixel","1","1062"
"FRadixSortClearOffsetsCS","Global","SF_Compute","1","257"
"FRadixSortDownsweepCS","Global","SF_Compute","1","4011"
"FRadixSortSpineCS","Global","SF_Compute","1","1151"
"FRadixSortUpsweepCS","Global","SF_Compute","1","1234"
"FReadTextureExternalPS","Global","SF_Pixel","1","528"
"FRecenterSTDisplacementMapPS","Global","SF_Pixel","1","547"
"FRecomputeTangentsPerTrianglePassCS<0>","Global","SF_Compute","1","1891"
"FRecomputeTangentsPerTrianglePassCS<1>","Global","SF_Compute","1","1891"
"FRecomputeTangentsPerTrianglePassCS<2>","Global","SF_Compute","1","2176"
"FRecomputeTangentsPerTrianglePassCS<3>","Global","SF_Compute","1","2176"
"FRecomputeTangentsPerVertexPassCS<0>","Global","SF_Compute","1","671"
"FRecomputeTangentsPerVertexPassCS<1>","Global","SF_Compute","1","892"
"FRectAtlasAddTexturePS","Global","SF_Pixel","1","582"
"FRectAtlasCopyTexturePS","Global","SF_Pixel","1","424"
"FRectAtlasFilterTexturePS","Global","SF_Pixel","1","1178"
"FRectLightAtlasVS","Global","SF_Vertex","1","638"
"FRenderCameraAerialPerspectiveVolumeCS","Global","SF_Compute","32","125680"
"FRenderDebugSkyAtmospherePS","Global","SF_Pixel","1","3811"
"FRenderDistantSkyLightLutCS","Global","SF_Compute","2","4487"
"FRenderMultiScatteredLuminanceLutCS","Global","SF_Compute","2","5142"
"FRenderRealTimeReflectionHeightFogPS","Global","SF_Pixel","2","3546"
"FRenderRealTimeReflectionHeightFogVS","Global","SF_Vertex","1","454"
"FRenderSkyViewLutCS","Global","SF_Compute","16","54575"
"FRenderTransmittanceLutCS","Global","SF_Compute","1","1246"
"FResolveDepth2XPS","Global","SF_Pixel","1","319"
"FResolveDepth4XPS","Global","SF_Pixel","1","390"
"FResolveDepth8XPS","Global","SF_Pixel","1","391"
"FResolveDepthPS","Global","SF_Pixel","1","402"
"FResolveSingleSamplePS","Global","SF_Pixel","1","304"
"FResolveVS","Global","SF_Vertex","1","397"
"FSSProfilePreIntegratedPS","Global","SF_Pixel","1","1854"
"FScatterCopyCS","Global","SF_Compute","4","1869"
"FSceneCapturePS","Global","SF_Pixel","5","2129"
"FScreenPS","Global","SF_Pixel","1","251"
"FScreenPSArraySlice","Global","SF_Pixel","1","305"
"FScreenPSInvertAlpha","Global","SF_Pixel","1","292"
"FScreenPSMipLevel","Global","SF_Pixel","1","297"
"FScreenPS_OSE","Global","SF_Pixel","1","251"
"FScreenPSsRGBSource","Global","SF_Pixel","1","323"
"FScreenPSsRGBSourceMipLevel","Global","SF_Pixel","1","365"
"FScreenPassVS","Global","SF_Vertex","1","461"
"FScreenSpaceShadowsBendCS","Global","SF_Compute","3","18770"
"FScreenSpaceShadowsCS","Global","SF_Compute","1","1482"
"FScreenSpaceShadowsUpsamplePS","Global","SF_Pixel","2","1401"
"FScreenVS","Global","SF_Vertex","1","441"
"FScreenVertexShaderVS","Global","SF_Vertex","1","225"
"FScrollingShadowMaps2DPS","Global","SF_Pixel","1","401"
"FSelectionOutlinePS","Global","SF_Pixel","4","11630"
"FShader_VirtualTextureCopy_PS< ERuntimeVirtualTextureMaterialType::BaseColor >","Global","SF_Pixel","1","289"
"FShader_VirtualTextureCopy_PS< ERuntimeVirtualTextureMaterialType::BaseColor_Normal_Specular >","Global","SF_Pixel","1","391"
"FShader_VirtualTextureCopy_PS< ERuntimeVirtualTextureMaterialType::BaseColor_Normal_Specular_Mask_YCoCg >","Global","SF_Pixel","1","505"
"FShader_VirtualTextureCopy_PS< ERuntimeVirtualTextureMaterialType::BaseColor_Normal_Specular_YCoCg >","Global","SF_Pixel","1","509"
"FShader_VirtualTextureCopy_PS< ERuntimeVirtualTextureMaterialType::Mask4 >","Global","SF_Pixel","1","347"
"FShader_VirtualTextureCopy_PS< ERuntimeVirtualTextureMaterialType::WorldHeight >","Global","SF_Pixel","1","289"
"FShader_VirtualTextureCopy_VS","Global","SF_Vertex","1","376"
"FShadowProjectionNoTransformVS","Global","SF_Vertex","1","195"
"FShadowVolumeBoundProjectionVS","Global","SF_Vertex","1","417"
"FSimpleElementAlphaOnlyPS","Global","SF_Pixel","1","299"
"FSimpleElementColorChannelMaskPS","Global","SF_Pixel","1","455"
"FSimpleElementDistanceFieldGammaPS","Global","SF_Pixel","1","678"
"FSimpleElementGammaAlphaOnlyPS","Global","SF_Pixel","1","516"
"FSimpleElementGammaPS_Linear","Global","SF_Pixel","1","537"
"FSimpleElementGammaPS_SRGB","Global","SF_Pixel","1","537"
"FSimpleElementHitProxyPS","Global","SF_Pixel","1","293"
"FSimpleElementMaskedGammaPS_Linear","Global","SF_Pixel","1","569"
"FSimpleElementMaskedGammaPS_SRGB","Global","SF_Pixel","1","569"
"FSimpleElementNormalMapPS","Global","SF_Pixel","1","368"
"FSimpleElementPS","Global","SF_Pixel","1","327"
