"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FCopyQuadsMultiSourcePS","Global","SF_Pixel","2","15059"
"FCopyQuadsPS","Global","SF_Pixel","1","2157"
"FCopyRectPS","Global","SF_Pixel","1","2063"
"FCopyRectSrvPS","Global","SF_Pixel","1","2063"
"FCopyResidentBrickSHCoefficientsCS","Global","SF_Compute","1","2266"
"FCopyResidentBricksCS","Global","SF_Compute","2","5125"
"FCopySceneColorPS","Global","SF_Pixel","1","2312"
"FCopySceneColorTexturePS","Global","SF_Pixel","1","3373"
"FCopySceneColorToCubeFacePS","Global","SF_Pixel","1","3381"
"FCopyShadowMaps2DPS","Global","SF_Pixel","1","2226"
"FCopyShadowMapsCubeGS","Global","SF_Geometry","1","2373"
"FCopyShadowMapsCubePS","Global","SF_Pixel","1","2553"
"FCopyStencilToLightingChannelsPS","Global","SF_Pixel","1","2502"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Float4","Global","SF_Compute","1","2209"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Int324","Global","SF_Compute","1","2192"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Uint324","Global","SF_Compute","1","2231"
"FCopyTextureCS_Texture2DArray_Texture2D_Float4","Global","SF_Compute","1","2198"
"FCopyTextureCS_Texture2DArray_Texture2D_Int324","Global","SF_Compute","1","2173"
"FCopyTextureCS_Texture2DArray_Texture2D_Uint324","Global","SF_Compute","1","2213"
"FCopyTextureCS_Texture2DArray_Texture3D_Float4","Global","SF_Compute","1","2201"
"FCopyTextureCS_Texture2DArray_Texture3D_Int324","Global","SF_Compute","1","2184"
"FCopyTextureCS_Texture2DArray_Texture3D_Uint324","Global","SF_Compute","1","2224"
"FCopyTextureCS_Texture2D_Texture2DArray_Float4","Global","SF_Compute","1","2191"
"FCopyTextureCS_Texture2D_Texture2DArray_Int324","Global","SF_Compute","1","2165"
"FCopyTextureCS_Texture2D_Texture2DArray_Uint324","Global","SF_Compute","1","2204"
"FCopyTextureCS_Texture2D_Texture2D_Float4","Global","SF_Compute","1","2170"
"FCopyTextureCS_Texture2D_Texture2D_Int324","Global","SF_Compute","1","2151"
"FCopyTextureCS_Texture2D_Texture2D_Uint324","Global","SF_Compute","1","2191"
"FCopyTextureCS_Texture2D_Texture3D_Float4","Global","SF_Compute","1","2166"
"FCopyTextureCS_Texture2D_Texture3D_Int324","Global","SF_Compute","1","2151"
"FCopyTextureCS_Texture2D_Texture3D_Uint324","Global","SF_Compute","1","2190"
"FCopyTextureCS_Texture3D_Texture2DArray_Float4","Global","SF_Compute","1","2194"
"FCopyTextureCS_Texture3D_Texture2DArray_Int324","Global","SF_Compute","1","2173"
"FCopyTextureCS_Texture3D_Texture2DArray_Uint324","Global","SF_Compute","1","2215"
"FCopyTextureCS_Texture3D_Texture2D_Float4","Global","SF_Compute","1","2166"
"FCopyTextureCS_Texture3D_Texture2D_Int324","Global","SF_Compute","1","2151"
"FCopyTextureCS_Texture3D_Texture2D_Uint324","Global","SF_Compute","1","2195"
"FCopyTextureCS_Texture3D_Texture3D_Float4","Global","SF_Compute","1","2180"
"FCopyTextureCS_Texture3D_Texture3D_Int324","Global","SF_Compute","1","2162"
"FCopyTextureCS_Texture3D_Texture3D_Uint324","Global","SF_Compute","1","2201"
"FCopyToCubeFaceVS","Global","SF_Vertex","1","2804"
"FCopyUIntBufferCS","Global","SF_Compute","1","2165"
"FCopyVelocityGridCS","Global","SF_Compute","1","1989"
"FCopyWindowCS","Global","SF_Compute","1","2583"
"FCropDistortionDisplacementMapCS","Global","SF_Compute","1","2045"
"FCrosshairOverlayPS","Global","SF_Pixel","1","2375"
"FCubeDownsampleMaxPS","Global","SF_Pixel","1","3077"
"FCubeDownsamplePS","Global","SF_Pixel","1","3579"
"FCubeFilterPS","Global","SF_Pixel","1","3831"
"FCubemapTexturePropertiesPS","Global","SF_Pixel","4","12688"
"FCubemapTexturePropertiesVS","Global","SF_Vertex","1","2556"
"FCullObjectsForShadowCS","Global","SF_Compute","2","6972"
"FCullObjectsForViewCS","Global","SF_Compute","1","4023"
"FCullObjectsToClipmapCS","Global","SF_Compute","2","6794"
"FCullObjectsToGridCS","Global","SF_Compute","1","3943"
"FDebugAlphaChannelCS","Global","SF_Compute","1","2907"
"FDebugHairTangentCS","Global","SF_Compute","1","9054"
"FDebugTranslucencyLightingVolumeCS","Global","SF_Compute","1","18960"
"FDebugVariableRateShadingCS","Global","SF_Compute","1","2509"
